Data Structure,time (ms),test number,test type
Binary Search Tree,6377,0,sequential add
Binary Search Tree,4158,0,random add
Binary Search Tree,5543,0,sequential find
Binary Search Tree,2,0,sequential remove
Binary Search Tree,0,0,random find
Binary Search Tree,1,0,random remove
Chained Hash Table,32,0,sequential add
Chained Hash Table,6,0,random add
Chained Hash Table,6,0,sequential find
Chained Hash Table,6,0,sequential remove
Chained Hash Table,0,0,random find
Chained Hash Table,1,0,random remove
Linear Hash Table,3,0,sequential add
Linear Hash Table,2,0,random add
Linear Hash Table,1,0,sequential find
Linear Hash Table,3,0,sequential remove
Linear Hash Table,0,0,random find
Linear Hash Table,1,0,random remove
Red Black Tree,11,0,sequential add
Red Black Tree,14,0,random add
Red Black Tree,5,0,sequential find
Red Black Tree,8,0,sequential remove
Red Black Tree,0,0,random find
Red Black Tree,0,0,random remove
Binary Search Tree,6380,1,sequential add
Binary Search Tree,4193,1,random add
Binary Search Tree,8750,1,sequential find
Binary Search Tree,2,1,sequential remove
Binary Search Tree,0,1,random find
Binary Search Tree,1,1,random remove
Chained Hash Table,26,1,sequential add
Chained Hash Table,5,1,random add
Chained Hash Table,4,1,sequential find
Chained Hash Table,5,1,sequential remove
Chained Hash Table,1,1,random find
Chained Hash Table,0,1,random remove
Linear Hash Table,4,1,sequential add
Linear Hash Table,2,1,random add
Linear Hash Table,1,1,sequential find
Linear Hash Table,2,1,sequential remove
Linear Hash Table,1,1,random find
Linear Hash Table,0,1,random remove
Red Black Tree,12,1,sequential add
Red Black Tree,13,1,random add
Red Black Tree,4,1,sequential find
Red Black Tree,9,1,sequential remove
Red Black Tree,0,1,random find
Red Black Tree,0,1,random remove
Binary Search Tree,6496,2,sequential add
Binary Search Tree,4156,2,random add
Binary Search Tree,5527,2,sequential find
Binary Search Tree,2,2,sequential remove
Binary Search Tree,0,2,random find
Binary Search Tree,0,2,random remove
Chained Hash Table,323,2,sequential add
Chained Hash Table,95,2,random add
Chained Hash Table,94,2,sequential find
Chained Hash Table,50,2,sequential remove
Chained Hash Table,0,2,random find
Chained Hash Table,1,2,random remove
Linear Hash Table,3,2,sequential add
Linear Hash Table,1,2,random add
Linear Hash Table,1,2,sequential find
Linear Hash Table,3,2,sequential remove
Linear Hash Table,0,2,random find
Linear Hash Table,1,2,random remove
Red Black Tree,11,2,sequential add
Red Black Tree,13,2,random add
Red Black Tree,4,2,sequential find
Red Black Tree,8,2,sequential remove
Red Black Tree,0,2,random find
Red Black Tree,1,2,random remove
Binary Search Tree,6318,3,sequential add
Binary Search Tree,4149,3,random add
Binary Search Tree,5525,3,sequential find
Binary Search Tree,2,3,sequential remove
Binary Search Tree,0,3,random find
Binary Search Tree,1,3,random remove
Chained Hash Table,32,3,sequential add
Chained Hash Table,6,3,random add
Chained Hash Table,6,3,sequential find
Chained Hash Table,5,3,sequential remove
Chained Hash Table,1,3,random find
Chained Hash Table,0,3,random remove
Linear Hash Table,4,3,sequential add
Linear Hash Table,2,3,random add
Linear Hash Table,1,3,sequential find
Linear Hash Table,2,3,sequential remove
Linear Hash Table,1,3,random find
Linear Hash Table,0,3,random remove
Red Black Tree,11,3,sequential add
Red Black Tree,12,3,random add
Red Black Tree,5,3,sequential find
Red Black Tree,8,3,sequential remove
Red Black Tree,0,3,random find
Red Black Tree,1,3,random remove
Binary Search Tree,6367,4,sequential add
Binary Search Tree,4162,4,random add
Binary Search Tree,5528,4,sequential find
Binary Search Tree,2,4,sequential remove
Binary Search Tree,0,4,random find
Binary Search Tree,1,4,random remove
Chained Hash Table,25,4,sequential add
Chained Hash Table,6,4,random add
Chained Hash Table,4,4,sequential find
Chained Hash Table,5,4,sequential remove
Chained Hash Table,1,4,random find
Chained Hash Table,0,4,random remove
Linear Hash Table,4,4,sequential add
Linear Hash Table,1,4,random add
Linear Hash Table,1,4,sequential find
Linear Hash Table,3,4,sequential remove
Linear Hash Table,1,4,random find
Linear Hash Table,0,4,random remove
Red Black Tree,11,4,sequential add
Red Black Tree,13,4,random add
Red Black Tree,5,4,sequential find
Red Black Tree,8,4,sequential remove
Red Black Tree,0,4,random find
Red Black Tree,0,4,random remove
Binary Search Tree,6351,5,sequential add
Binary Search Tree,4150,5,random add
Binary Search Tree,5592,5,sequential find
Binary Search Tree,2,5,sequential remove
Binary Search Tree,1,5,random find
Binary Search Tree,0,5,random remove
Chained Hash Table,23,5,sequential add
Chained Hash Table,5,5,random add
Chained Hash Table,3,5,sequential find
Chained Hash Table,5,5,sequential remove
Chained Hash Table,0,5,random find
Chained Hash Table,1,5,random remove
Linear Hash Table,3,5,sequential add
Linear Hash Table,3,5,random add
Linear Hash Table,1,5,sequential find
Linear Hash Table,3,5,sequential remove
Linear Hash Table,0,5,random find
Linear Hash Table,1,5,random remove
Red Black Tree,11,5,sequential add
Red Black Tree,13,5,random add
Red Black Tree,5,5,sequential find
Red Black Tree,8,5,sequential remove
Red Black Tree,0,5,random find
Red Black Tree,0,5,random remove
Binary Search Tree,6322,6,sequential add
Binary Search Tree,4156,6,random add
Binary Search Tree,5544,6,sequential find
Binary Search Tree,3,6,sequential remove
Binary Search Tree,1,6,random find
Binary Search Tree,0,6,random remove
Chained Hash Table,22,6,sequential add
Chained Hash Table,4,6,random add
Chained Hash Table,3,6,sequential find
Chained Hash Table,5,6,sequential remove
Chained Hash Table,1,6,random find
Chained Hash Table,0,6,random remove
Linear Hash Table,4,6,sequential add
Linear Hash Table,2,6,random add
Linear Hash Table,1,6,sequential find
Linear Hash Table,3,6,sequential remove
Linear Hash Table,0,6,random find
Linear Hash Table,1,6,random remove
Red Black Tree,12,6,sequential add
Red Black Tree,14,6,random add
Red Black Tree,5,6,sequential find
Red Black Tree,9,6,sequential remove
Red Black Tree,0,6,random find
Red Black Tree,0,6,random remove
Binary Search Tree,6344,7,sequential add
Binary Search Tree,4168,7,random add
Binary Search Tree,5532,7,sequential find
Binary Search Tree,2,7,sequential remove
Binary Search Tree,0,7,random find
Binary Search Tree,0,7,random remove
Chained Hash Table,21,7,sequential add
Chained Hash Table,4,7,random add
Chained Hash Table,2,7,sequential find
Chained Hash Table,5,7,sequential remove
Chained Hash Table,0,7,random find
Chained Hash Table,1,7,random remove
Linear Hash Table,3,7,sequential add
Linear Hash Table,2,7,random add
Linear Hash Table,1,7,sequential find
Linear Hash Table,3,7,sequential remove
Linear Hash Table,0,7,random find
Linear Hash Table,1,7,random remove
Red Black Tree,11,7,sequential add
Red Black Tree,13,7,random add
